livelihood_zone_corrected,livelihood_system,year,season,debt_level,herd_size,crop_production
Gedo Pastoral,Pastoral,2021,Gu,175.5,40.25,0
Gedo Riverine,Riverine,2021,Gu,152,0,1940
Guban Pastoral,Pastoral,2021,Gu,223.4210526,35.89473684,0
NE Northern Inland Pastoral,Pastoral,2021,Gu,402.3076923,46.04615385,0
NW Agropastoral,Agropastoral,2021,Gu,445.862069,23.5,17159.2
NW Hawd Pastoral,Pastoral,2021,Gu,374.7826087,45.02173913,0
NW Northern Inland Pastoral,Pastoral,2021,Gu,386.4893617,41.72340426,0
Shabelle Agropastoral,Agropastoral,2021,Gu,62.33333333,27.93939394,6510
Shabelle Riverine,Riverine,2021,Gu,62.33333333,0,20280
West Golis Pastoral,Pastoral,2021,Gu,208.3333333,44,0
Bay Agropastoral,Agropastoral,2022,Deyr,60,4.791666667,22429
Coastal Deeh Pastoral and Fishing,Pastoral and Fishing,2022,Deyr,241,0,0
East Golis Pastoral,Pastoral,2022,Deyr,852.6315789,29,0
Gedo Pastoral,Pastoral,2022,Deyr,300,26,0
Gedo Riverine,Riverine,2022,Deyr,228,0,950
NE Northern Inland Pastoral,Pastoral,2022,Deyr,796.2121212,31.45454545,0
Addun Pastoral,Pastoral,2022,Gu,711.3333333,22.86666667,0
Bay Agropastoral,Agropastoral,2022,Gu,108.37125,8.53125,14358.85
Central/NE Hawd Pastoral,Pastoral,2022,Gu,862.2,36.96,0
Coastal Deeh Pastoral and Fishing,Pastoral and Fishing,2022,Gu,241,0,0
East Golis Pastoral,Pastoral,2022,Gu,795,35.0625,0
Gedo Pastoral,Pastoral,2022,Gu,281,28.5,0
Gedo Riverine,Riverine,2022,Gu,196,0,1200
NE Northern Inland Pastoral,Pastoral,2022,Gu,687.8873239,36.18309859,0
Shabelle Agropastoral,Agropastoral,2022,Gu,90.68965517,25.10344828,12325
Shabelle Riverine,Riverine,2022,Gu,90.68965517,0,15005
Addun Pastoral,Pastoral,2023,Deyr,530.4347826,33.39130435,0
Bay Agropastoral,Agropastoral,2023,Deyr,58.67647059,16.88235294,27574
Central/NE Hawd Pastoral,Pastoral,2023,Deyr,532.4,44.2,0
Coastal Deeh Pastoral and Fishing,Pastoral and Fishing,2023,Deyr,241,0,0
East Golis Pastoral,Pastoral,2023,Deyr,766.3235294,35.02941176,0
Gedo Pastoral,Pastoral,2023,Deyr,200.5,41.25,0
Gedo Riverine,Riverine,2023,Deyr,106,0,701
Guban Pastoral,Pastoral,2023,Deyr,389.3333333,42,0
NE Northern Inland Pastoral,Pastoral,2023,Deyr,587.5324675,39.77922078,0
NW Agropastoral,Agropastoral,2023,Deyr,677.7419355,23.5,5424
NW Hawd Pastoral,Pastoral,2023,Deyr,386.4423077,38.44230769,0
NW Northern Inland Pastoral,Pastoral,2023,Deyr,612.0888889,38.2173913,0
Shabelle Agropastoral,Agropastoral,2023,Deyr,57.14505495,32.22857143,11252.5
Shabelle Riverine,Riverine,2023,Deyr,57.14505495,0,12580
West Golis Pastoral,Pastoral,2023,Deyr,350.952381,49.38095238,0
Addun Pastoral,Pastoral,2023,Gu,638.4,33.24,0
Bay Agropastoral,Agropastoral,2023,Gu,57.25806452,11.64516129,24685.565
Central/NE Hawd Pastoral,Pastoral,2023,Gu,626.4444444,40.41304348,0
Coastal Deeh Pastoral and Fishing,Pastoral and Fishing,2023,Gu,241,0,0
East Golis Pastoral,Pastoral,2023,Gu,850.6666667,28.83333333,0
Gedo Pastoral,Pastoral,2023,Gu,240.5,31.95,0
Gedo Riverine,Riverine,2023,Gu,141,0,2030
Guban Pastoral,Pastoral,2023,Gu,468.6666667,34.73333333,0
NE Northern Inland Pastoral,Pastoral,2023,Gu,830.9859155,30.55714286,0
NW Agropastoral,Agropastoral,2023,Gu,860.3703704,23.5,5424
NW Hawd Pastoral,Pastoral,2023,Gu,402.5581395,32.1627907,0
NW Northern Inland Pastoral,Pastoral,2023,Gu,734.34375,30.53125,0
Shabelle Agropastoral,Agropastoral,2023,Gu,85.16129032,28.61290323,7222
Shabelle Riverine,Riverine,2023,Gu,85.16129032,0,24346
West Golis Pastoral,Pastoral,2023,Gu,375,44.45833333,0
Addun Pastoral,Pastoral,2024,Deyr,847.8947368,50.36842105,0
Bay Agropastoral,Agropastoral,2024,Deyr,73.57142857,26.92857143,17525
Central/NE Hawd Pastoral,Pastoral,2024,Deyr,512.8301887,44.45454545,0
Coastal Deeh Pastoral and Fishing,Pastoral and Fishing,2024,Deyr,241,0,0
East Golis Pastoral,Pastoral,2024,Deyr,707.8378378,42.2972973,0
Gedo Pastoral,Pastoral,2024,Deyr,168.5,50.05,0
Gedo Riverine,Riverine,2024,Deyr,91,0,2700
Guban Pastoral,Pastoral,2024,Deyr,270.3333333,54.93333333,0
